Id;Response_Market_Index;PROD_Formula;PER_sex;PER_Sex_Second_Driver;VEH_Actual_Value;CLA_HISTORY;CLA_HISTORY_1Y;CLA_HISTORY_3Y;CLA_BM_TPL_DECLARED;BEH_Mileage;PER_KIDS_ON_BOARD_ID;VEH_Number_of_doors;VEH_Top_Speed;BEH_Number_Year_Insured;VEH_TransmissionId;PER_Age_Main_Driver;PER_License_Age_Main_Driver;PER_License_Age_Second_Driver;PER_Matrimonial_Status;VEH_Age;VEH_Injection_Mode;VEH_fuel_type;BEH_vehicule_usage;VEH_Drive_type;VEH_Body;VEH_Segment;PER_Parking_Type;CLA_BM;VEH_engine_HP;VEH_pw_proportion;VEH_High_Risk_Vehicle;PER_previous_insurer;PER_Is_second_driver;PER_Age_oldest_child;PER_Second_Driver_Age;PER_Insured_Before;VEH_Weight;GEO_Lat;GEO_Long
1710213;661.99;BASIC;2;0;7670;1;1;1;7;13;1;5;150;0;7;30;7;-1;5;11;389999;1;1;50001;10;30001;2;0;54;48;1;2;1;1;-1;2;840;-1.44087637490742;0.152253409772435
1710214;449;FULL;1;0;7678;1;1;1;1;13;1;5;200;8;7;38;20;-1;2;11;389999;2;1;50001;10;30005;4;8;120;62;2;5;1;1;-1;2;1425;-1.44087637490742;0.152253409772435
1710216;299;FULL;1;2;32957;1;1;1;1;15;1;5;195;10;7;43;25;2;2;4;380008;2;1;50001;9;30003;2;10;130;63;2;2;2;14;41;1;1530;-1.75757637490742;0.502253409772436
1710217;299;FULL;1;2;32957;1;1;1;1;15;1;5;195;10;7;43;25;2;2;4;380008;2;1;50001;9;30003;2;10;130;63;2;2;2;14;41;1;1530;-1.75757637490742;0.502253409772436
1710218;299;FULL;1;2;32957;1;1;1;1;15;1;5;195;10;7;43;25;2;2;4;380008;2;1;50001;9;30003;2;10;130;63;2;2;2;14;41;1;1530;-1.75757637490742;0.502253409772436
1710220;444.34;BASIC;2;0;9851;1;1;1;1;12;2;3;201;4;7;29;6;-1;1;11;389999;1;1;50002;10;30003;2;4;115;62;2;32;1;-99;-1;1;1375;2.61942362509259;0.671653409772436
1710222;339;FULL;2;0;9851;1;1;1;1;12;2;3;201;4;7;29;6;-1;1;11;389999;1;1;50002;10;30003;2;4;115;62;2;32;1;-99;-1;1;1375;2.61942362509259;0.671653409772436
1710226;615;BASIC;1;2;7700;1;1;1;2;12;1;5;172;6;7;31;7;1;1;12;389999;1;1;50001;10;30002;3;6;75;58;2;15;2;8;26;1;959;-1.39087637490741;-0.0477465902275647
1710227;538;BASIC;1;0;16883;1;1;1;6;13;2;5;187;3;7;49;2;-1;2;10;389999;2;1;50001;10;30003;2;2;105;62;2;18;1;-99;-1;1;1251;-0.640876374907414;-1.98114659022756
1710229;518;BASIC;1;0;5400;1;1;1;1;12;1;5;160;5;7;33;5;-1;2;18;389999;2;1;50001;5;30005;2;5;90;39;2;27;1;1;-1;1;1695;1.14242362509258;2.40225340977243
1710230;489;BASIC;1;0;5400;1;1;1;1;12;1;5;160;5;7;33;5;-1;2;18;389999;2;1;50001;5;30005;2;5;90;39;2;27;1;1;-1;1;1695;1.14242362509258;2.40225340977243
1710234;428;BASIC;2;0;0;1;1;1;7;12;3;3;155;0;7;30;8;-1;2;19;389999;1;1;50001;10;30002;2;0;60;54;1;27;1;-99;-1;1;815;-0.607576374907417;1.08555340977244
1710235;486;BASIC;1;2;5700;1;1;1;4;14;2;5;187;3;7;33;3;7;2;15;389999;1;1;50001;9;30003;4;3;100;60;2;2;2;3;26;1;1235;-1.72417637490742;1.96885340977244
1710236;639;FULL;1;0;7770;1;1;1;7;13;2;5;203;0;7;23;4;-1;1;11;389999;1;1;50001;10;30005;2;0;122;67;2;27;1;-99;-1;1;1355;-1.79087637490741;-0.431146590227563
1710237;339;FULL;1;0;20950;1;1;1;1;15;1;5;186;10;7;37;11;-1;2;6;389999;2;1;50001;9;30003;2;10;120;55;2;27;1;10;-1;1;1613;0.292423625092582;2.78555340977244
